Nutrient,Price,Calories,Fat,Saturated Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Spicy,High sugar,High fat,High calorie,is light,is fried,contain water,Has vegetable,High sodium,High protein,High carbs,High Cholesterol,Has chicken,Has pork,Has noodle,High price
RDI,,2000,N/A,N/A,N/A,,130g,38g,N/A,56g,,,,,,,,,,,,,,,,
DV,,2000,78g,20g,300mg,,300g,28g,50g,50g,,,,,,,,,,,,,,,,
Use this,,1200,46.8,12,180,,180,16.8,30,30,,,,,,,,,,,,,,,,
UL,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
Mean,36.0,471.0,16.1,3.0,114.9,623.1,48.5,2.5,1.6,30.0,,,,,,,,,,,,,,,,
roasted_red_pork_noodle,35.0,454.0,21.2,0.0,92.0,0.0,43.6,1.5,0.0,22.2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
pork_suki,35.0,466.9,19.2,5.8,327.0,920.0,14.4,3.5,5.3,57.1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0
fried_chicken,30.0,588.0,16.0,4.4,168.0,152.0,42.2,2.0,0.2,63.6,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0
chicken_noodle,35.0,603.0,18.0,4.6,548.5,376.0,58.2,3.2,8.4,55.2,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
grilled_pork_with_sticky_rice,40.0,469.0,22.3,4.7,116.0,112.0,21.1,1.0,0.1,42.6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
pork_congee,30.0,296.0,7.1,2.1,85.0,93.0,23.6,1.8,0.4,34.3,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
dumplings,40.0,332.0,10.7,0.0,0.0,1925.0,41.4,1.5,0.0,17.5,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1
sliced_grilled_pork_salad,35.0,246.0,6.5,0.0,0.0,807.6,11.7,3.5,0.9,33.7,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
steamed_rice_with_chicken,40.0,765.0,32.2,6.8,103.0,517.6,89.1,3.5,7.2,27.5,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1
stir_fried_rice_noodles_with_chicken,35.0,495.0,20.9,0.0,0.0,961.0,59.4,0.0,0.0,17.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
stir_fried_rice_noodles_with_soy_sauce_and_pork,35.0,730.0,35.2,9.3,264.8,1025.5,62.1,5.0,1.2,38.6,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
rice_with_roasted_pork,35.0,435.0,13.3,0.0,0.0,1365.0,59.5,17.5,0.0,19.8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
fried_pork_curry_rice,40.0,540.0,11.4,9.5,0.0,840.0,97.5,4.2,1.8,1.5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1
rice_scramble_egg,35.0,223.5,16.5,5.1,415.5,219.0,1.6,0.6,2.3,19.1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
lek_tom_yam,45.0,301.5,5.0,1.5,63.8,94.5,36.5,1.5,0.0,26.4,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1
rice_topped_with_stir_fried_pork_and_basil,35.0,370.0,9.0,0.0,0.0,420.0,59.0,0.0,0.0,14.0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0
steamed_rice_with_fried_chicken,40.0,693.0,22.0,0.0,0.0,0.0,53.0,0.0,0.0,26.0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1
fried_chicken_salad_sticky_rice,35.0,640.0,18.0,0.0,0.0,0.0,94.0,0.0,0.0,25.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
mama_namtok,30.0,426.0,10.0,0.0,0.0,0.0,67.0,0.0,0.0,26.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
pork_blood_soup,35.0,346.0,8.1,2.7,0.0,2011.0,34.4,0.4,0.1,33.0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
